"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Percentage Change over 1 month for Residential Property Price Index","2010 September","Dublin - all residential properties","%","-0.2"
"Percentage Change over 1 month for Residential Property Price Index","2010 October","Dublin - all residential properties","%","-1.6"
"Percentage Change over 1 month for Residential Property Price Index","2010 November","Dublin - all residential properties","%","-2.1"
"Percentage Change over 1 month for Residential Property Price Index","2010 December","Dublin - all residential properties","%","-1.7"
"Percentage Change over 1 month for Residential Property Price Index","2011 January","Dublin - all residential properties","%","-1.1"
"Percentage Change over 1 month for Residential Property Price Index","2011 February","Dublin - all residential properties","%","-2.1"
"Percentage Change over 1 month for Residential Property Price Index","2011 March","Dublin - all residential properties","%","-2.7"
"Percentage Change over 1 month for Residential Property Price Index","2011 April","Dublin - all residential properties","%","-0.8"
"Percentage Change over 1 month for Residential Property Price Index","2011 May","Dublin - all residential properties","%","-1.6"
"Percentage Change over 1 month for Residential Property Price Index","2011 June","Dublin - all residential properties","%","-1.4"
"Percentage Change over 1 month for Residential Property Price Index","2011 July","Dublin - all residential properties","%","-1.5"
"Percentage Change over 1 month for Residential Property Price Index","2011 August","Dublin - all residential properties","%","-2"
"Percentage Change over 1 month for Residential Property Price Index","2011 September","Dublin - all residential properties","%","-2.8"
"Percentage Change over 1 month for Residential Property Price Index","2011 October","Dublin - all residential properties","%","-2"
"Percentage Change over 1 month for Residential Property Price Index","2011 November","Dublin - all residential properties","%","-2.2"
"Percentage Change over 1 month for Residential Property Price Index","2011 December","Dublin - all residential properties","%","-1.8"
"Percentage Change over 1 month for Residential Property Price Index","2012 January","Dublin - all residential properties","%","-1.8"
"Percentage Change over 1 month for Residential Property Price Index","2012 February","Dublin - all residential properties","%","-2.7"
"Percentage Change over 1 month for Residential Property Price Index","2012 March","Dublin - all residential properties","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2012 April","Dublin - all residential properties","%","-0.4"
"Percentage Change over 1 month for Residential Property Price Index","2012 May","Dublin - all residential properties","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2012 June","Dublin - all residential properties","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2012 July","Dublin - all residential properties","%","2.1"
"Percentage Change over 1 month for Residential Property Price Index","2012 August","Dublin - all residential properties","%","1.2"
"Percentage Change over 1 month for Residential Property Price Index","2012 September","Dublin - all residential properties","%","1.2"
"Percentage Change over 1 month for Residential Property Price Index","2012 October","Dublin - all residential properties","%","0.9"
"Percentage Change over 1 month for Residential Property Price Index","2012 November","Dublin - all residential properties","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2012 December","Dublin - all residential properties","%","1.2"
"Percentage Change over 1 month for Residential Property Price Index","2013 January","Dublin - all residential properties","%","-0.9"
"Percentage Change over 1 month for Residential Property Price Index","2013 February","Dublin - all residential properties","%","-1.7"
"Percentage Change over 1 month for Residential Property Price Index","2013 March","Dublin - all residential properties","%","-0.6"
"Percentage Change over 1 month for Residential Property Price Index","2013 April","Dublin - all residential properties","%","1.1"
"Percentage Change over 1 month for Residential Property Price Index","2013 May","Dublin - all residential properties","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2013 June","Dublin - all residential properties","%","3.6"
"Percentage Change over 1 month for Residential Property Price Index","2013 July","Dublin - all residential properties","%","3.7"
"Percentage Change over 1 month for Residential Property Price Index","2013 August","Dublin - all residential properties","%","2.5"
"Percentage Change over 1 month for Residential Property Price Index","2013 September","Dublin - all residential properties","%","1.7"
"Percentage Change over 1 month for Residential Property Price Index","2013 October","Dublin - all residential properties","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2013 November","Dublin - all residential properties","%","1.1"
"Percentage Change over 1 month for Residential Property Price Index","2013 December","Dublin - all residential properties","%","1.3"
"Percentage Change over 1 month for Residential Property Price Index","2014 January","Dublin - all residential properties","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2014 February","Dublin - all residential properties","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2014 March","Dublin - all residential properties","%","1.6"
"Percentage Change over 1 month for Residential Property Price Index","2014 April","Dublin - all residential properties","%","2.9"
"Percentage Change over 1 month for Residential Property Price Index","2014 May","Dublin - all residential properties","%","3.5"
"Percentage Change over 1 month for Residential Property Price Index","2014 June","Dublin - all residential properties","%","4.2"
"Percentage Change over 1 month for Residential Property Price Index","2014 July","Dublin - all residential properties","%","4.1"
"Percentage Change over 1 month for Residential Property Price Index","2014 August","Dublin - all residential properties","%","2.2"
"Percentage Change over 1 month for Residential Property Price Index","2014 September","Dublin - all residential properties","%","2.4"
"Percentage Change over 1 month for Residential Property Price Index","2014 October","Dublin - all residential properties","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2014 November","Dublin - all residential properties","%","-0.2"
"Percentage Change over 1 month for Residential Property Price Index","2014 December","Dublin - all residential properties","%","-1.4"
"Percentage Change over 1 month for Residential Property Price Index","2015 January","Dublin - all residential properties","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2015 February","Dublin - all residential properties","%","-0.4"
"Percentage Change over 1 month for Residential Property Price Index","2015 March","Dublin - all residential properties","%","-0.1"
"Percentage Change over 1 month for Residential Property Price Index","2015 April","Dublin - all residential properties","%","0.1"
"Percentage Change over 1 month for Residential Property Price Index","2015 May","Dublin - all residential properties","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2015 June","Dublin - all residential properties","%","1.4"
"Percentage Change over 1 month for Residential Property Price Index","2015 July","Dublin - all residential properties","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2015 August","Dublin - all residential properties","%","1"
"Percentage Change over 1 month for Residential Property Price Index","2015 September","Dublin - all residential properties","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2015 October","Dublin - all residential properties","%","1.2"
"Percentage Change over 1 month for Residential Property Price Index","2015 November","Dublin - all residential properties","%","-0.4"
"Percentage Change over 1 month for Residential Property Price Index","2015 December","Dublin - all residential properties","%","-0.5"
"Percentage Change over 1 month for Residential Property Price Index","2016 January","Dublin - all residential properties","%","1.4"
"Percentage Change over 1 month for Residential Property Price Index","2016 February","Dublin - all residential properties","%","-0.7"
"Percentage Change over 1 month for Residential Property Price Index","2016 March","Dublin - all residential properties","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2016 April","Dublin - all residential properties","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2016 May","Dublin - all residential properties","%","-0.3"
"Percentage Change over 1 month for Residential Property Price Index","2016 June","Dublin - all residential properties","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2016 July","Dublin - all residential properties","%","1.2"
"Percentage Change over 1 month for Residential Property Price Index","2016 August","Dublin - all residential properties","%","1.5"
"Percentage Change over 1 month for Residential Property Price Index","2016 September","Dublin - all residential properties","%","1.6"
"Percentage Change over 1 month for Residential Property Price Index","2016 October","Dublin - all residential properties","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2016 November","Dublin - all residential properties","%","1.1"
"Percentage Change over 1 month for Residential Property Price Index","2016 December","Dublin - all residential properties","%","-0.6"
"Percentage Change over 1 month for Residential Property Price Index","2017 January","Dublin - all residential properties","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2017 February","Dublin - all residential properties","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2017 March","Dublin - all residential properties","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2017 April","Dublin - all residential properties","%","-0.8"
"Percentage Change over 1 month for Residential Property Price Index","2017 May","Dublin - all residential properties","%","2.6"
"Percentage Change over 1 month for Residential Property Price Index","2017 June","Dublin - all residential properties","%","1.9"
"Percentage Change over 1 month for Residential Property Price Index","2017 July","Dublin - all residential properties","%","2.3"
"Percentage Change over 1 month for Residential Property Price Index","2017 August","Dublin - all residential properties","%","1.5"
"Percentage Change over 1 month for Residential Property Price Index","2017 September","Dublin - all residential properties","%","1.1"
"Percentage Change over 1 month for Residential Property Price Index","2017 October","Dublin - all residential properties","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2017 November","Dublin - all residential properties","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2017 December","Dublin - all residential properties","%","0.4"
